INFO | stock-api | 2024-11-11 03:12:32,150 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:37:20,918 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:37:20,975 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:37:20,977 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:37:21,267 | Using selector: EpollSelector
DEBUG | asyncio | 2024-11-11 04:37:21,272 | Using selector: EpollSelector
DEBUG | asyncio | 2024-11-11 04:37:25,496 | Using selector: EpollSelector
DEBUG | asyncio | 2024-11-11 04:37:31,391 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:37:31,392 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:37:40,777 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:37:41,836 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:37:41,891 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:37:41,892 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:37:42,191 | Using selector: EpollSelector
DEBUG | asyncio | 2024-11-11 04:37:42,197 | Using selector: EpollSelector
DEBUG | asyncio | 2024-11-11 04:37:45,629 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:37:45,634 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:38:42,434 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:38:48,694 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:38:48,749 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:38:48,751 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:38:48,780 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:38:48,782 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:39:20,618 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:39:20,677 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:39:20,679 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:39:20,714 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:39:20,715 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:41:09,134 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:41:09,191 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:41:09,193 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:41:09,223 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:41:09,224 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:41:22,097 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:44:04,625 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:44:19,916 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:44:29,414 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:44:29,474 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:44:29,476 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:44:29,508 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:44:29,510 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:45:02,556 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:45:07,230 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:45:07,285 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:45:07,287 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:45:07,318 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:45:07,319 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:45:45,535 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:45:56,090 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:46:37,832 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:47:42,042 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:47:49,791 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:48:00,368 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:48:04,131 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:48:28,759 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:48:32,879 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:48:40,827 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:49:12,034 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:49:16,564 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:49:25,762 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:49:43,237 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:49:43,293 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:49:43,295 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:49:43,329 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:49:43,331 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
INFO | stock-api | 2024-11-11 04:50:59,105 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:51:08,943 | Started Stock API Challenge!
INFO | stock-api | 2024-11-11 04:51:14,170 | Started Stock API Challenge!
DEBUG | asyncio | 2024-11-11 04:51:14,227 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:51:14,229 | HTTP Request: GET http://testserver/stock/aapl "HTTP/1.1 404 Not Found"
DEBUG | asyncio | 2024-11-11 04:51:14,259 | Using selector: EpollSelector
INFO | httpx | 2024-11-11 04:51:14,261 | HTTP Request: GET http://testserver/stock/invalid "HTTP/1.1 404 Not Found"
